name,category,color,tags,gender,image_url,version
Beige Casual Overshirt,outerwear,beige,casual|layering,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Beige%20Casual%20Overshirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=gYovN6b1PT2c8x93E%2FovExVotsidG5Rmqpu7d%2FjigiufEjLK%2FF4%2Bo0sCyhmVjQGCpqE2iF5B61M%2FHgHsfnjOTcS8d%2Bi27Kp9t3PeA%2FhMobtOq6sGx67KcEQV6NDtmMDM4xVTglxLRp3euomL7tnMlcATmqTXtR%2BYC4HfcaBB%2BzEsp2KgXcCKGfMEmYtsdE4IJ5Z02gWB9HXsQbxQG2DwR6DCDHG%2B3kYuAgq3nxVMT40lDJdvhhgLRHD2kAbUsvDnZZxxpmJFonSTXjT7rO5vV%2F1Uq6E0FPC698JqYO7iUExsJ%2F%2Fx%2Fa%2BM3GzJC75BmI4If4s%2FfTdf9AENW7z%2BRDEqtA%3D%3D,v2
Beige Casual Shorts,bottom,beige,casual|summer,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Beige%20Casual%20Shorts.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=OghgOLCGh7URu%2FCzNif5vCPfCXSvwgJiZyD0e%2FjzNYe0x7it6hwGqjFHu2iaSCjvsDe4oQghjdBA1GKe8q0LrbFI7O48OG27rfMvzOlaRzIQquVuuX0mTvJHwaLt20Hx57p6%2Fb139iWveGUESUzUejhOkhaFKCazOGqPCepl57lmBRlN83abEUExGH7iNFLl1klFUpT4TFHdvalIZp%2BlcEMLaUBFAHdpfGlGBwfdz9g29hz9bcTRzCd%2BqvAJ7UPgTvoPZz7Ad0f38WCKzJF%2FVxhp0IRxdPVcFCVUPB5uXBMdvHO%2B%2FZxgw%2BGGzNIdE02JV4iHA07VnWfiKkkz09tNrQ%3D%3D,v2
Beige Chinos,bottom,beige,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Beige%20Chinos.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=cjU7Rs8phXARZppJQZxjNPAsHAb%2FF7XfY6m2LmAIER1cTxFHoZHLWKOgW6TTjxqGBqSzfWNvSmyd0%2BMzMx0sHGekQb82fV44HegQ4Aih0FkF1%2FC%2FZwo%2BQKb%2FToy2NIC6AT%2F4lYq0R9n06ycX%2BV58SIxisgyOerSAQGtCgMHVkJKljMwe0LHzkwCZDMkDnidqjyxmbKUsXLMQieYMqqzFVgCo46Z7R7SapKEh1oPo8HjEz7Ko4FxVM1gK0vh34kDje7cJRV0M2jABj9aGZg0saSI4skoJ3pyCcFIHYZxb%2F6oQeiuZy%2FsdV2AMNCszxFW%2Fi%2FX05bbn2CwFA%2B4vb9D5JQ%3D%3D,v2
Beige Neutral Crewneck Sweater,top,beige,basic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Beige%20Neutral%20Crewneck%20Sweater.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=gy2cRhjHmZ95R0ThwSGPEEs0Y7oaogUPoyw4F%2BTOAKRlH7Gv16gfFG1CeawWBE4ZD6JN5pFG5lz5k76LBtjQf992%2Bv9silf9TWIGw020Hxecnv6GPphE4iT4Iy8l%2F%2F8McxDaQ%2Bb%2FL88OkK4TK3k2cGweou1oI9WKpSPcrnZPm3pxwTiNnKWB4PAhD4JEF0%2BlFvjapGnrUh9nn2I18Cw0qEyWdavAuhnaUjgdTc2pmPdx8E1TjfG9Qsgw6a5Imsb68VVUf%2BD1GieKJP6TVBhMZG3Lx2EEgPkcwXLzsr4di5tsvg1By4kfulQBTLzYf8WI6WEbNEAjcO7hqjF8gXSjkQ%3D%3D,v2
Beige Zip-Up Jacket,outerwear,beige,layering,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Beige%20Zip-Up%20Jacket.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=MXdoKwpDZ2Z9ypX0bS4w2wX8CPDCZRm9wkyUH%2B1mmmR8bN44or9PHZJuXggnRS0uFnCGFeqoBRnFfkbS7TPx%2FTr8237ZUAJIpdxkHQdnVkz7AY1R84RTBwSRX5JvmF6eSeiSCpVparvh7%2BJBFugDwfM80USVnNT2wYI3A4F%2BZ8WDeqAC6m8fNEl19e25eBg7G8SbpKRTrZv3S67NNvrkc9ffKtY8vq%2B%2BbjLo89VW8t4qmI4DAVAy44QDjkj9taXh2Sjzqf9Hk77vz9UVUGljTf91QlfWJNB641ChUoDDRIVMALzVqpFdjb72TwitRNOgFik%2FzeSpIn0TbN3u7869fA%3D%3D,v2
Black Blazer,outerwear,black,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Blazer.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=M1rOneg5jmwAByTTzE1mFFdOyTDlgV3QD7M6L3GWvxET5sDP0gVq0ukWqHbRyYwZoiC%2BsnpGsT1V1lHtgUCXV9ij7bkg0roCwe8vuaaBSQwi5TO3YhjNeylOB5%2BSNOgCWfavRpwKTJ6SvHXwzxf1duzYcNJhrAQuhjjnFutt6UTeke2Bnyo7vCGvAgRdFk68iBnGbqZenoZMuVXYDsanRh75lLMNOIzsJfEvvtVhf1MpArV67g0lto5R2eBKr8ccU1BzB7QW7r%2FRijqNTCetcoqTWVdmCPvEmmO3QnJX8KZT0fm6A4pCVJgYBE2VoFn3UJEdh0MID6D%2B6GcB3U8ptg%3D%3D,v2
Black Bomber Jacket,outerwear,black,layering,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Bomber%20Jacket.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=KS%2F59CzgoFVkS4pw33rFtg%2BcZnpnJPQOJKdptEqQBbskPB%2BcfgjL%2FOpx4xwex3HM5%2BmP0i9DaIReS%2F5NpXToU%2BFEAIPyPEumS%2FGfwpMUDb1h40frzRLkJCKOCqxAf0HQXoWSywfiPY64WZW3MxNkgp2l0Jfzvsmjchy6v2Xql71FDF%2B2BfZ0EBWz8F43eRU6EI7CG16C4D3371SX1NGnhYi6tlGVoKaRu8DWZRMsIr5APrcYNltEGsKqVaaUCix9yyIG5GPdJgk%2F54bn5vjZZizcsnG5cBTtXS7LTfGyNnI82IUBfb3qrtzju5DEjRi7Z3QaJd5QfaBiHoumqwsUcQ%3D%3D,v2
Black Casual Shirt,top,black,casual,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Casual%20Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=ZLGMoKotn55PSARf%2BnnHW7GBhnR%2B%2ByL7tPVysc1GIpSNu523r30y5C4%2Fh7zZBM96y0qLN3W%2FdbZ4scocLKdJcVlgYqGNDHgZUZUMSxyMoTdqvKKQ7xnsYlXBsz2hykPEBJ6W%2Flr4zAml6wdLAzmuGiyjw9xQmNlSHNkMTlvKqdMba65ByXXT8HzpDzwPbxi3wfHiek2emf7XVZQZGUmkEzXwdwS1kEK%2BzFG4hjec4I1shAznvKU1cmewDwIEzvjz05kgb2QKR6DKK09mR5Gsi7rk8NlBqbaztwarBuI%2FSOwfcgybtcuPA2rzx1cQ6ENp%2Bnp6KdZUvoP1w18WtcM9wg%3D%3D,v2
Black Crewneck T-Shirt,top,black,basic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Crewneck%20T-Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=CKmzuguXrWYUXcRkxPE1YmkBR8mfufb%2BNqEqpIllRqOOxCwWh7DxKUYuWrREnOn5XESPGhkWB8FJMw%2FrjHzHuxA9VXNQYcYx2Se2cSiUMElWFSMtuGfAlqiPMAA5p8%2BLNtJyrVyPiBvNh%2FkI2rPPAZP9xJCWjPGFGsOYFv%2FbSi2J7%2FW5Yq8XFiHNraYBJGqexw4TYlWX8sxxBDyvOrl1xoyl2ySO489MzV7owemHeVzCDSesfdY3DU5gcqwI%2BQBLg6yPS8G9sXdCUba4WKxiJaNCSVDuvlPWAeO6lg3XQnsw340tOIXgNbMigqqHxMcSpMneYvA9PGRDsaVr4CQLQQ%3D%3D,v2
Black Formal Shoes,shoes,black,formal|everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Formal%20Shoes.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=QtpG2ZfXEg3xr6j0I8g3lUtnTPlIc9cciloWzmyv4qXxEcZkg44FmFrHiwC8cTQwVD4mTdGBy%2BBGmbYjTgzixwzvnhLTHfmYOp259rbXWfwIaWqRDSQ9YSj5QVbC1dkO%2FIiC6GWVUOtFhzyo00XSSV8G9KEVLDuX6sYWqW48umjgflBhI8Jg2kRyeECMS830A5aBizGJ9ag55fFtiqFYz8uak8xo%2FJCjJtponKbuSgZFzkBpC8DsoAzjTjK9mGVevJ4JjX3cqYX4EDrdED7LG8JNsTN7zMHFWShQ8Jgtuqdo6g%2BqVPuboS1%2Fja2%2FoROW8MzNQqThoi7Xa4t%2BihG56A%3D%3D,v2
